#Scan#,inchi_combined,inchi_key,inchi_key1,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
7739,"InChI=1S/C54H92O23/c1-23(2)10-9-14-54(8,77-48-44(69)40(65)37(62)29(74-48)22-70-46-42(67)38(63)34(59)26(19-55)71-46)24-11-16-53(7)33(24)25(58)18-31-51(5)15-13-32(50(3,4)30(51)12-17-52(31,53)6)75-49-45(41(66)36(61)28(21-57)73-49)76-47-43(68)39(64)35(60)27(20-56)72-47/h10,24-49,55-69H,9,11-22H2,1-8H3/t24?,25-,26-,27-,28-,29-,30+,31?,32+,33+,34-,35-,36-,37-,38+,39+,40+,41+,42-,43-,44-,45-,46-,47+,48+,49+,51+,52-,53-,54+/m1/s1",GZYPWOGIYAIIPV-BJUPWKCISA-N,GZYPWOGIYAIIPV-BJUPWKCISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene glycosides,Triterpene saponins,NA,NA,NA
7750,"InChI=1S/C13H23NO6/c1-9(5-11(15)16)6-13(19)20-10(7-12(17)18)8-14(2,3)4/h9-10H,5-8H2,1-4H3,(H-,15,16,17,18)",HFCPFJNSBPQJDP-UHFFFAOYSA-N,HFCPFJNSBPQJDP-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
7754,"InChI=1S/C10H13N5O6/c11-9-13-6-3(7(19)14-9)12-10(20)15(6)8-5(18)4(17)2(1-16)21-8/h2,4-5,8,16-18H,1H2,(H,12,20)(H3,11,13,14,19)/t2-,4?,5?,8-/m0/s1",FPGSEBKFEJEOSA-QRMUCLBVSA-N,FPGSEBKFEJEOSA-QRMUCLBVSA-N,Completed,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,Purine nucleosides,NA,NA,NA,NA
7808,"InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1",UATOAILWGVYRQS-HHHXNRCGSA-N,UATOAILWGVYRQS-HHHXNRCGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
7834,"InChI=1S/C26H54NO7P/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-31-23-26(34-25(2)28)24-33-35(29,30)32-22-20-27(3,4)5/h26H,6-24H2,1-5H3/t26-/m1/s1",HVAUUPRFYPCOCA-AREMUKBSSA-N,HVAUUPRFYPCOCA-AREMUKBSSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,"1-alkyl,2-acylglycero-3-phosphocholines","1-alkyl,2-acetylglycero-3-phosphocholines",NA,NA,NA
7844,"InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1",ASWBNKHCZGQVJV-HSZRJFAPSA-N,ASWBNKHCZGQVJV-HSZRJFAPSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
7868,"InChI=1S/C22H46O12/c23-1-3-25-5-7-27-9-11-29-13-15-31-17-19-33-21-22-34-20-18-32-16-14-30-12-10-28-8-6-26-4-2-24/h23-24H,1-22H2",PSVXZQVXSXSQRO-UHFFFAOYSA-N,PSVXZQVXSXSQRO-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
7964,"InChI=1S/C5H13O3P/c1-4-7-9(3,6)8-5-2/h4-5H2,1-3H3",NYYLZXREFNYPKB-UHFFFAOYSA-N,NYYLZXREFNYPKB-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,Dialkyl alkylphosphonates,NA,NA,NA,NA
7973,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N,JLFNLZLINWHATN-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
7982,"InChI=1S/C9H9NO3/c1-10-4-9(13)5-2-7(11)8(12)3-6(5)10/h2-3,9,13H,4H2,1H3",RPHLQSHHTJORHI-UHFFFAOYSA-N,RPHLQSHHTJORHI-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,NA,Indoles and derivatives,NA,NA,NA,NA
7990,"InChI=1S/C22H46O12/c23-1-3-25-5-7-27-9-11-29-13-15-31-17-19-33-21-22-34-20-18-32-16-14-30-12-10-28-8-6-26-4-2-24/h23-24H,1-22H2",PSVXZQVXSXSQRO-UHFFFAOYSA-N,PSVXZQVXSXSQRO-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
8019,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",CXTATJFJDMJMIY-CYBMUJFWSA-N,CXTATJFJDMJMIY-CYBMUJFWSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA,NA,NA
8035,"InChI=1S/C23H48NO5PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(25)31-22-21-29-30(26,27)28-20-19-24(2,3)4/h5-22H2,1-4H3",BDPQVGIMLZYZQA-UHFFFAOYSA-N,BDPQVGIMLZYZQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,Phosphocholines,NA,NA,NA
8038,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
8049,"InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1",UATOAILWGVYRQS-HHHXNRCGSA-N,UATOAILWGVYRQS-HHHXNRCGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8056,"InChI=1S/C5H13O3P/c1-4-7-9(3,6)8-5-2/h4-5H2,1-3H3",NYYLZXREFNYPKB-UHFFFAOYSA-N,NYYLZXREFNYPKB-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,Dialkyl alkylphosphonates,NA,NA,NA,NA
8067,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
8089,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
8092,"InChI=1S/C20H30O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h4,7,13,15-16,18H,2-3,5-6,8-12,14H2,1H3,(H,23,24)/b7-4-/t16-,18+/m0/s1",FMKLAIBZMCURLI-BFVRRIQPSA-N,FMKLAIBZMCURLI-BFVRRIQPSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
8168,"InChI=1S/C10H14O5/c1-13-9(11)7-5-3-4-6(15-5)8(7)10(12)14-2/h5-8H,3-4H2,1-2H3",HGUPYDNRFPCLSC-UHFFFAOYSA-N,HGUPYDNRFPCLSC-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA
8219,"InChI=1S/C19H12O8/c1-8(20)26-13-5-3-4-11-15(13)18(23)16-12(17(11)22)6-10(19(24)25)7-14(16)27-9(2)21/h3-7H,1-2H3,(H,24,25)",TYNLGDBUJLVSMA-UHFFFAOYSA-N,TYNLGDBUJLVSMA-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Anthracenes,Anthracenecarboxylic acids and derivatives,Anthracenecarboxylic acids,NA,NA,NA,NA
8223,"InChI=1/C8H14N2O5S/c9-4(7(12)13)1-2-6(11)10-5(3-16)8(14)15/h4-5,16H,1-3,9H2,(H,10,11)(H,12,13)(H,14,15)/t4-,5-/m0/s1/f/h10,12,14H",RITKHVBHSGLULN-YDMOGNLRNA-N,RITKHVBHSGLULN-YDMOGNLRNA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
8255,"InChI=1S/C15H18N4O3/c16-12(7-11-8-17-9-18-11)14(20)19-13(15(21)22)6-10-4-2-1-3-5-10/h1-5,8-9,12-13H,6-7,16H2,(H,17,18)(H,19,20)(H,21,22)/t12-,13-/m0/s1",XMAUFHMAAVTODF-STQMWFEESA-N,XMAUFHMAAVTODF-STQMWFEESA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
8259,"InChI=1S/C21H36O5/c1-3-4-7-10-16(26-2)13-14-18-17(19(22)15-20(18)23)11-8-5-6-9-12-21(24)25/h5,8,13-14,16-20,22-23H,3-4,6-7,9-12,15H2,1-2H3,(H,24,25)/b8-5-,14-13+/t16-,17+,18+,19-,20+/m0/s1",RGZAEYWCXILWFX-NVRZHKMMSA-N,RGZAEYWCXILWFX-NVRZHKMMSA-N,No Data Available,NA,NA,NA,NA,NA,NA,NA,NA,NA
8260,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,19-/m0/s1",XEYBRNLFEZDVAW-YUOXZBOXSA-N,XEYBRNLFEZDVAW-YUOXZBOXSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
8261,"InChI=1S/C21H36O5/c1-3-4-7-10-16(26-2)13-14-18-17(19(22)15-20(18)23)11-8-5-6-9-12-21(24)25/h5,8,13-14,16-20,22-23H,3-4,6-7,9-12,15H2,1-2H3,(H,24,25)/b8-5-,14-13+/t16-,17+,18+,19-,20+/m0/s1",RGZAEYWCXILWFX-NVRZHKMMSA-N,RGZAEYWCXILWFX-NVRZHKMMSA-N,No Data Available,NA,NA,NA,NA,NA,NA,NA,NA,NA
8279,"InChI=1S/C25H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-17-20-24(27)26-23(25(28)29)21-22-18-15-14-16-19-22/h7-8,14-16,18-19,23H,2-6,9-13,17,20-21H2,1H3,(H,26,27)(H,28,29)/b8-7-/t23-/m0/s1",OIDVFUQQVKYQTG-YLNCNTMDSA-N,OIDVFUQQVKYQTG-YLNCNTMDSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,NA,NA
8280,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
8283,"InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1",FVTCRASFADXXNN-SCRDCRAPSA-N,FVTCRASFADXXNN-SCRDCRAPSA-N,Completed,Organic compounds,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,NA,Flavin nucleotides,NA,NA,NA,NA
8292,"InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1",UATOAILWGVYRQS-HHHXNRCGSA-N,UATOAILWGVYRQS-HHHXNRCGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8298,"InChI=1S/C21H41O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)27-18-20(22)19-28-29(24,25)26/h9-10,20,22H,2-8,11-19H2,1H3,(H2,24,25,26)/b10-9-/t20-/m1/s1",WRGQSWVCFNIUNZ-GDCKJWNLSA-N,WRGQSWVCFNIUNZ-GDCKJWNLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,Monoacylglycerophosphates,Lysophosphatidic acids,1-acylglycerol-3-phosphates,NA,NA
8315,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
8319,"InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1",UATOAILWGVYRQS-HHHXNRCGSA-N,UATOAILWGVYRQS-HHHXNRCGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8418,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",UWHCKJMYHZGTIT-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
8423,"InChI=1S/C23H40N2O3/c26-21(27)10-8-6-4-2-1-3-5-7-9-11-24-22(28)25-23-15-18-12-19(16-23)14-20(13-18)17-23/h18-20H,1-17H2,(H,26,27)(H2,24,25,28)",XLGSEOAVLVTJDH-UHFFFAOYSA-N,XLGSEOAVLVTJDH-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,NA,NA,NA,NA
8424,"InChI=1S/C7H12N2O5/c8-4(7(13)14)1-2-5(10)9-3-6(11)12/h4H,1-3,8H2,(H,9,10)(H,11,12)(H,13,14)/p-1/t4-/m1/s1",ACIJGUBIMXQCMF-SCSAIBSYSA-M,ACIJGUBIMXQCMF-SCSAIBSYSA-M,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
8431,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h1H,3-17H2,(H,19,20)",DZIILFGADWDKMF-UHFFFAOYSA-N,DZIILFGADWDKMF-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
8440,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",LNQVTSROQXJCDD-KQYNXXCUSA-N,LNQVTSROQXJCDD-KQYNXXCUSA-N,Completed,Organic compounds,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,NA,Ribonucleoside 3'-phosphates,NA,NA,NA,NA
8448,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,NYHBQMYGNKIUIF-UUOKFMHZSA-N,Completed,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,Purine nucleosides,NA,NA,NA,NA
8455,"InChI=1S/C19H36O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(23-17(2)21)15-18(22)16-20/h3,18-20,22H,1,4-16H2,2H3",MFLWBVVCOWPUBA-UHFFFAOYSA-N,MFLWBVVCOWPUBA-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Long-chain fatty alcohols,NA,NA,NA,NA
8472,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1",YAMUFBLWGFFICM-PTGWMXDISA-N,YAMUFBLWGFFICM-PTGWMXDISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8474,"InChI=1S/C23H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24(2,3)4/h22,25H,5-21H2,1-4H3/t22-/m1/s1",RJZVWDTYEWCUAR-JOCHJYFZSA-N,RJZVWDTYEWCUAR-JOCHJYFZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8485,"InChI=1S/C23H48NO5PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(25)31-22-21-29-30(26,27)28-20-19-24(2,3)4/h5-22H2,1-4H3",BDPQVGIMLZYZQA-UHFFFAOYSA-N,BDPQVGIMLZYZQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,Phosphocholines,NA,NA,NA
8489,"InChI=1S/C28H58NO7P/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-23-33-25-28(36-27(2)30)26-35-37(31,32)34-24-22-29(3,4)5/h28H,6-26H2,1-5H3/t28-/m1/s1",ZXCIEWBDUAPBJF-MUUNZHRXSA-N,ZXCIEWBDUAPBJF-MUUNZHRXSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,"1-alkyl,2-acylglycero-3-phosphocholines","1-alkyl,2-acetylglycero-3-phosphocholines",NA,NA,NA
8497,"InChI=1S/C24H47BrNO8P/c1-26(2,3)18-19-32-35(30,31)33-21-23(20-27)34-24(29)16-13-15-22(28)14-11-9-7-5-4-6-8-10-12-17-25/h6,8,22-23,27-28H,4-5,7,9-21H2,1-3H3/b8-6-/i25+1",LFHRMWNSMZHYES-NNKRCKOWSA-N,LFHRMWNSMZHYES-NNKRCKOWSA-N,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
8512,"InChI=1S/C24H47BrNO8P/c1-26(2,3)18-19-32-35(30,31)33-21-23(20-27)34-24(29)16-13-15-22(28)14-11-9-7-5-4-6-8-10-12-17-25/h6,8,22-23,27-28H,4-5,7,9-21H2,1-3H3/b8-6-/i25+1",LFHRMWNSMZHYES-NNKRCKOWSA-N,LFHRMWNSMZHYES-NNKRCKOWSA-N,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
8528,"InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1",UATOAILWGVYRQS-HHHXNRCGSA-N,UATOAILWGVYRQS-HHHXNRCGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8529,"InChI=1S/C24H47BrNO8P/c1-26(2,3)18-19-32-35(30,31)33-21-23(20-27)34-24(29)16-13-15-22(28)14-11-9-7-5-4-6-8-10-12-17-25/h6,8,22-23,27-28H,4-5,7,9-21H2,1-3H3/b8-6-/i25+1",LFHRMWNSMZHYES-NNKRCKOWSA-N,LFHRMWNSMZHYES-NNKRCKOWSA-N,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
8624,"InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H,1-6H2/t7-,8-,9-,10-,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-/m1/s1",HFHDHCJBZVLPGP-RWMJIURBSA-N,HFHDHCJBZVLPGP-RWMJIURBSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,NA,NA,NA,NA
8648,"InChI=1S/C31H46O2/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-17-25(5)20-21-27-26(6)30(32)28-18-7-8-19-29(28)31(27)33/h7-8,18-20,22-24H,9-17,21H2,1-6H3/b25-20+",MBWXNTAXLNYFJB-LKUDQCMESA-N,MBWXNTAXLNYFJB-LKUDQCMESA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Vitamin K compounds,NA,NA,NA,NA
8650,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
8654,"InChI=1S/C30H46O6/c1-25(2)11-13-30(24(35)36)14-12-27(4)17(18(30)15-25)7-8-20-26(3)16-19(31)22(32)29(6,23(33)34)21(26)9-10-28(20,27)5/h7,18-22,31-32H,8-16H2,1-6H3,(H,33,34)(H,35,36)/t18-,19-,20+,21+,22-,26+,27+,28+,29-,30-/m0/s1",IDGXIXSKISLYAC-WNTKNEGGSA-N,IDGXIXSKISLYAC-WNTKNEGGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,NA,NA,NA,NA
8724,"InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CRDAMVZIKSXKFV-YFVJMOTDSA-N,CRDAMVZIKSXKFV-YFVJMOTDSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,NA,NA,NA,NA
8754,"InChI=1S/C23H48NO5PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(25)31-22-21-29-30(26,27)28-20-19-24(2,3)4/h5-22H2,1-4H3",BDPQVGIMLZYZQA-UHFFFAOYSA-N,BDPQVGIMLZYZQA-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,Phosphocholines,NA,NA,NA
8761,"InChI=1S/C18H38NO7P/c1-5-6-7-8-9-10-11-12-18(21)24-15-17(20)16-26-27(22,23)25-14-13-19(2,3)4/h17,20H,5-16H2,1-4H3/t17-/m1/s1",SECPDKKEUKDCPG-QGZVFWFLSA-N,SECPDKKEUKDCPG-QGZVFWFLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
8769,"InChI=1S/C24H47BrNO8P/c1-26(2,3)18-19-32-35(30,31)33-21-23(20-27)34-24(29)16-13-15-22(28)14-11-9-7-5-4-6-8-10-12-17-25/h6,8,22-23,27-28H,4-5,7,9-21H2,1-3H3/b8-6-/i25+1",LFHRMWNSMZHYES-NNKRCKOWSA-N,LFHRMWNSMZHYES-NNKRCKOWSA-N,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
